date,equal_weight,erc,inverse_vol,mvo,mvo_ls
2019-10-16,-0.005161961787080505,-0.004387016895686213,-0.0018718484205711983,-0.08119858107283318,-0.23906323971529098
2019-10-17,-0.003002913052294942,-0.003523408222934732,-0.0004943536093064971,-0.07940011233351663,-0.23945310450837765
2019-10-18,-0.004025019747598169,-0.003550597462098737,-0.0006146781859035499,-0.07706795634980057,-0.23642030939033942
2019-10-21,-0.0009943043591397194,-0.003391079478025749,0.0,-0.07676827868893765,-0.23766219529175214
2019-10-22,-0.0004473138338156879,-0.0024690261682988046,0.0,-0.07686389050747111,-0.2409403478424571
2019-10-23,0.0,-0.001044868029260737,0.0,-0.07603353930173151,-0.24497106520533696
2019-10-24,0.0,-0.00033831492541780417,0.0,-0.07132040951003782,-0.2410931464971463
2019-10-25,0.0,-0.0006001612671423517,-3.569431985150917e-05,-0.07283680280590477,-0.24461747449432936
2019-10-28,-0.0004087072457431562,-0.0019803025198950053,-0.0009630378497417214,-0.07765114250567284,-0.2484253704741457
2019-10-29,0.0,-0.0018400008414485303,-0.000833572806706262,-0.07691719618585435,-0.2517307591285415
2019-10-30,0.0,0.0,0.0,-0.06945006313887081,-0.2406621759986478
2019-10-31,-0.000940256825600283,0.0,0.0,-0.06461391768490665,-0.23544948584315006
2019-11-01,0.0,0.0,0.0,-0.0651494565335009,-0.237397271128843
2019-11-04,0.0,-0.0008167797487323991,-0.00033906767286306927,-0.07258728953731308,-0.2471787808128837
2019-11-05,-0.00280848107961551,-0.00351847990908849,-0.003048266770498742,-0.08320434437999769,-0.25569882416782397
2019-11-06,-0.0028019250103125115,-0.002714114060897721,-0.0022446428107915084,-0.07958188806869726,-0.24697291649616604
2019-11-07,-0.004506033252195896,-0.005680791121940643,-0.00480135858857933,-0.0927327864507993,-0.26136476512643114
2019-11-08,-0.005093383898839177,-0.006197664012736803,-0.005221993492911525,-0.09658276003860244,-0.2617390911756239
2019-11-11,-0.007014146625626938,-0.00697889103389937,-0.006251106383571958,-0.09794364304896186,-0.2607979907377713
2019-11-12,-0.006397164953892198,-0.006392273084710687,-0.005709800410182209,-0.09744823016733173,-0.26089495268675655
2019-11-13,-0.00552337175509654,-0.005248300778292858,-0.004609954988885057,-0.09068207930731276,-0.2561587231233813
2019-11-14,-0.003290621665763771,-0.0032098926957513374,-0.0026434844761991094,-0.08627420416902432,-0.2504244219121269
2019-11-15,0.0,-0.0018370131482727814,-0.0004293042398298974,-0.0837255957017059,-0.25216920815497046
2019-11-18,-0.00024078523620696402,-0.0016244747609445165,-0.00019544919747205292,-0.08141827483638664,-0.2474585307072118
2019-11-19,-0.0012849684866836908,-0.0018683162505229722,-0.0007320124037721865,-0.08034476730151019,-0.2470366551100034
2019-11-20,-0.0011917897800474142,-0.0008531505249842475,-0.0003792856131634714,-0.07995903952011885,-0.24801538283470426
2019-11-21,-0.0027891213661621617,-0.0021206000679635517,-0.0018992162049411565,-0.08445018609847232,-0.25556214149200407
2019-11-22,-0.0015978332064632284,-0.0015264073840042247,-0.0009384646709141853,-0.08470769908804632,-0.25493966393559575
2019-11-25,0.0,0.0,0.0,-0.07984532780870346,-0.2519058639040357
2019-11-26,0.0,0.0,0.0,-0.07455319292465623,-0.24451537999207285
2019-11-27,0.0,-0.00011734874294722086,0.0,-0.07315399560047242,-0.24415173515919553
2019-11-29,-0.0043536380196558255,-0.002053078802448205,-0.002499224748362505,-0.07340909102427329,-0.24355805742448078
2019-12-02,-0.010043557731435282,-0.005052931983940634,-0.006106871949091541,-0.08138965122667141,-0.2534940479309943
2019-12-03,-0.011126253800312846,-0.00334938143805108,-0.0052743563276586025,-0.07922601662920314,-0.24931422300167383
2019-12-04,-0.006624026303290287,-0.002031182897320627,-0.0029708045605292277,-0.08012724908392943,-0.25189197206256
2019-12-05,-0.006219097876146273,-0.0023509495695984706,-0.0029690426609557674,-0.08046145283854533,-0.25161102341903585
2019-12-06,-0.0016761570598667896,-0.0011926646181668055,-0.0008740338456542096,-0.07493696996403665,-0.25090977304559103
2019-12-09,-0.0031911604531652538,-0.0016902333713839646,-0.0016817485789770714,-0.07681625188013563,-0.25212220827149245
2019-12-10,-0.0032894067197285493,-0.0018730798767752077,-0.0018396617935833026,-0.07622415250145054,-0.253148930688077
2019-12-11,-0.0003993848508658804,0.0,0.0,-0.06979259236679392,-0.24801739688678848
2019-12-12,0.0,0.0,0.0,-0.06964884122935977,-0.2542292983897918
2019-12-13,0.0,0.0,0.0,-0.06573113345135673,-0.24983658313621893
2019-12-16,0.0,0.0,0.0,-0.06332344630436182,-0.2530041158800438
2019-12-17,0.0,0.0,0.0,-0.06527927273752798,-0.25690905227404937
2019-12-18,0.0,-0.00021618317279259447,0.0,-0.06570434472922959,-0.2597182062068156
2019-12-19,0.0,0.0,0.0,-0.06204604828316984,-0.25683829182090867
2019-12-20,0.0,0.0,0.0,-0.05920537229532974,-0.2557256568379759
2019-12-23,0.0,-5.129942923787212e-06,-4.6675263920548105e-07,-0.05745199730217876,-0.25743102418271524
2019-12-24,0.0,0.0,0.0,-0.056884980247957406,-0.25723520351196216
2019-12-26,0.0,0.0,0.0,-0.05270621067527259,-0.25246641973922346
2019-12-27,0.0,0.0,0.0,-0.053007976783827404,-0.2518923032834899
2019-12-30,-0.0027341760667654036,-0.001043846138875204,-0.0014717227370603103,-0.05599051603757721,-0.254572228892762
2019-12-31,-0.0017582789140065946,-0.0012474259376737962,-0.0011974246493882124,-0.05393388135341204,-0.252693205468959
2020-01-02,0.0,0.0,0.0,-0.04064963843039693,-0.24643867699433375
2020-01-03,-0.001742330782112278,0.0,-0.0002822469355827639,-0.04427743068043566,-0.24901834925734434
2020-01-06,-0.0005710373490621645,0.0,0.0,-0.044741470494109814,-0.24942746525255732
2020-01-07,-0.0030751309651668723,-0.0013199780114377946,-0.0017210222346351056,-0.04952458682407457,-0.2547827772125817
2020-01-08,-0.0030994996247208917,-0.0021117551507734422,-0.0018196544919187874,-0.043980590055842206,-0.24577032720580738
2020-01-09,0.0,-0.00048721121521633215,0.0,-0.0405233328827741,-0.2415884298933516
2020-01-10,0.0,0.0,0.0,-0.04155588097794283,-0.2422043154350474
2020-01-13,0.0,0.0,0.0,-0.03600440930356852,-0.237277925836884
2020-01-14,0.0,0.0,0.0,-0.035844328315185026,-0.2371540213962452
2020-01-15,0.0,0.0,0.0,-0.03340633689909944,-0.23135407232054772
2020-01-16,0.0,0.0,0.0,-0.026206992974221577,-0.2251157042589682
2020-01-17,0.0,0.0,0.0,-0.02333453023810883,-0.22247750450876758
2020-01-21,-0.002549812500610038,-0.00037845449483053795,-0.0007815355476001873,-0.022453212762745478,-0.21820943076092403
2020-01-22,-0.0031433071490393205,-0.0005356676675346561,-0.0008283189290479998,-0.019611592791968335,-0.21333598098604745
2020-01-23,-0.0025579277653189347,0.0,-0.00038126157678441963,-0.01571443799778749,-0.2083692455233318
2020-01-24,-0.0073718616443705365,-0.0015570678612789601,-0.002911280864890231,-0.0219038334345939,-0.21292388132344653
2020-01-27,-0.017288620441350266,-0.004500967294447489,-0.0077640192833488,-0.03488308835923193,-0.22129777760252878
2020-01-28,-0.012718211945552893,-0.0032340362890402874,-0.005166213588239876,-0.026009598764461517,-0.21434466973418687
2020-01-29,-0.012013136210719866,-0.0019035742764494934,-0.004186593525393967,-0.02612201111782675,-0.2120782120712723
2020-01-30,-0.011213639153968114,-0.0013479411317112167,-0.0034651750905879686,-0.020152010767538253,-0.20697266796009728
2020-01-31,-0.021373235821870007,-0.0042135478693698936,-0.008251792790817891,-0.034649874279846116,-0.2140958860518155
2020-02-03,-0.01953320836916661,-0.004134487495254802,-0.007448187680236584,-0.02771049890554289,-0.20010813190737353
2020-02-04,-0.012692910679526603,-0.0029888497938135306,-0.00426469914948735,-0.021095633710295325,-0.19791785540886442
2020-02-05,-0.004623254314666259,-0.000558704690597378,-0.0003887477257054073,-0.014964015902610872,-0.19507785283614076
2020-02-06,-0.0034478884857946923,0.0,0.0,-0.01049341346783017,-0.18943736322455762
2020-02-07,-0.006697589497407619,-0.0001213821526223624,-0.0010510980420086469,-0.01062804448409338,-0.18388422250576508
2020-02-10,-0.0034279680859350403,0.0,0.0,-0.00501215184812398,-0.17710845033539435
2020-02-11,-0.0006106730004121763,0.0,0.0,-0.005424730151672996,-0.18115300389842293
2020-02-12,0.0,0.0,0.0,-0.004301512160841958,-0.18479191968264597
2020-02-13,-0.0004115210016831794,0.0,0.0,-0.0010631291084159944,-0.17860546116775822
2020-02-14,0.0,0.0,0.0,0.0,-0.17422038199918666
2020-02-18,-0.0007407057253492333,0.0,-7.359220988933934e-06,-8.594139516782118e-05,-0.17394002483573479
2020-02-19,0.0,0.0,0.0,0.0,-0.17305108695749838
2020-02-20,-0.00043610051103371017,0.0,0.0,-0.0025157159690319952,-0.17449258004471657
2020-02-21,-0.003076409711172179,0.0,-0.0005846380165867027,-0.010532609279431226,-0.17950067035327455
2020-02-24,-0.022202671505128446,-0.005500730339138893,-0.010208205707239904,-0.03806153144350144,-0.19642358959849682
2020-02-25,-0.04149168201030207,-0.011786556422438643,-0.020168821172062867,-0.06121171427285277,-0.20637864322374222
2020-02-26,-0.04568087235635898,-0.012994731841361906,-0.02225059652127459,-0.06406061062176449,-0.2047128571907051
2020-02-27,-0.07178075822489349,-0.020045003774112446,-0.03616998717844189,-0.0910473482743196,-0.2243785304718804
2020-02-28,-0.07937724403021928,-0.018805139490155276,-0.03796089965465943,-0.09939661447544634,-0.2355727673569702
